application_id,applicant_name,age,gender,state,employment_status,annual_income,loan_amount_requested,loan_purpose,credit_score,dti_ratio,application_date,num_dependents,has_coborrower,loan_term_months,interest_rate_offered,application_status
APP40443,Person_267,29,Male,Ohio,Contract,97139.19,45566.38,Home improvement,837,0.4559,2019-03-11,5,No,84,25.61,Under review
APP73185,Person_142,52,Male,Texas,Part-time,142190.55,79336.51 ,Education,641,0.5273,2022-11-29,1,Yes,48,22.92,Pending
APP30354,Person_839,37,Male,Texas,Unemployed,74329.07,8173.62,Auto loan,811,0.4641,2019-06-28,5,Yes,24,19.81,Rejected
APP85846,Person_175,73,Male,California,Part-time,146598.65,23971.19,Business,799,0.3298,2022-11-30,4,No,48,21.21,Rejected
APP23320,Person_481,27,Male,Illinois,Unemployed,210304.68,72058.19,Debt consolidation,357,0.0523,2019-12-02,4,Yes,72,59.8,Approved
APP37581,Person_320,27,Other,Georgia,Part-time,28151.83,2122.68,Debt consolidation,456,,2018-09-24,4,No,36,70.2,Approved
APP85574,Person_578,27,Male,Texas,Employed,96667.46,20737.49,Medical,596,0.1918,2022-10-24,5,Yes,60,15.02,Rejected
APP90754,Person_94,42,Male,New york,Contract,189562.26,69322.48,Auto loan,698,0.2163,2021-04-19,1,No,60,14.0,Pending
APP63562,Unknown,69,Male,Florida,Contract,19268.91,59748.01,Vacation,307,0.4546,2022-02-25,4,Yes,48,24.45,Under review
APP69634,Person_49,56,Female,Texas,Retired,158531.44,33851.8,Medical,782,0.5801,2019-04-22,1,No,60,48.6,Pending
APP64867,Person_807,29,Female,California,Part-time,,na,Auto loan,603,0.1818,2023-08-29,6,Yes,48,21.22,Under review
APP55957,Person_331,48,Female,Ohio,Unemployed,114744.13,17547.02,Auto loan,634,,2019-01-27,6,No,72,14.51,Approved
APP56429,Person_838,71,Female,Illinois,Part-time,157908.12,4438.35,Debt consolidation,744,,2020-08-04,5,No,60,16.51,Pending
APP95066,Person_659,28,Female,Texas,Retired,68461.85,20426.11,,320,0.0005214999999999,2024-05-21,4,No,24,20.36,Approved
app16076,,21,Male,New york,Employed,40268.6,59961.09,Debt consolidation,736,0.5962,2018-08-02,4,Yes,84,22.19,Pending
APP37376,Person_555,22,Female,California,Retired,232672.27,78494.27,Vacation,796,0.574,2020-11-19,0,No,60,53.3,Rejected
APP42268,Person_625,32,Male,New york,Part-time,189733.84,55126.16,Medical,378,,2021-12-19,0,No,12,25.88,Rejected
APP98501,Person_6,54,Female,Georgia,Part-time,111675.93,-75386.09,Debt consolidation,552,0.4552,2019-06-27,0,No,60,18.49,
APP87307,Person_298,57,Female,California,Unemployed,64398.68,7952.41,Business,551,0.2795,2018-04-05,0,Yes,12,49.8,Unknown
APP46654,Person_597,57,Female,Miami,Retired,98138.88,77016.65,Home improvement,554,0.3923,2019-06-15,3,Yes,24,48.3,Pending
APP87178,Person_216,42,Female,Texas,Part-time,131591.52,42787.85,Unknown,588,0.4361,2020-10-17,4,No,84,10.53,Under review
APP89900,Person_314,56,Other,Texas,Self-employed,193036.19,47408.37,Vacation,372,0.4797,2021-12-25,5,Yes,48,27.65,Approved
APP80972,Person_108,66,Female,Unknown,Employed,214738.46,30324.53,Auto loan,622,0.3946,2018-02-04,5,No,36,93.1,Rejected
APP16868,Person_27,54,Female,,Contract,115662.85,9978.3,Debt consolidation,365,0.3834,2024-02-25,2,No,60,22.93,Under review
APP23643,Person_910,54,Female,California,Retired,136656.43,42636.85,Education,381,0.0755,2021-02-10,0,Yes,36,24.9,Rejected
APP15397,Person_120,54,Male,Illinois,Retired,149059.79,26819.7,Vacation,526,0.1572,2024-05-29,4,No,36,11.42,Rejected
app38460,Person_799,46,Female,New york,Self-employed,118555.55,40482.16,Vacation,343,0.1795,2018-02-02,1,No,36,14.16,Pending
